la-oll-a	laol-l-a
ka	ka
thoko	n-thoko
di-hektare	di-hektare
tse	tse
tsa	ts-a
n-aha	nah-a
du-ts-e-ng	duts-e-ng
hantle	hantle
se-bake-ng	bakeng
sa	sa
ba	ba
amohel-a-ng	amohel-a-ng
me-putso	me-putso
tlase	tlase
le	le
ma-tlo	ma-tlo
kgon-eh-a-ng	kgon-eh-a-ng
ntlafatso	n-ntlafatso
ntjha	ntjha
ya	y-a
bo-hlokwa	bo-hlokwa
tla	tl-a
b-a	ba
ho	ho
ke-ny-el-ets-a	ke-ny-el-ets-a
ba-tho	ba-tho
bao	bao
me-putso	me-putso
ya	y-a
bona	bon-a
phaham-e-ng	phaham-e-ng
haholo	haholo
ho	ho
r-e	re
ba	ba
ka	ka
fuman-a	fuman-a
di-tshehetso	di-tshehetso
tsa	ts-a
mo-mmuso	mmmmuso
empa	emp-a
ba	ba
amohel-a	amohel-a
tjhelete	tjhelete
tlase	tlase
hore	hore
ba	ba
ka	ka
fuman-a	fuman-a
n-kadimo	n-kadimo
banke-ng	bankeng
re	re
ke-ny-a	ke-ny-a
mo-kgwa	mo-kgwa
wa	w-a
le-tlole	le-tlole
la	la
tiisetso	n-tisetso
la	la
bilione	bilione
ho	ho
kgothal-e-ts-a	kgothal-e-ts-a
di-banka	di-banka
tsa	ts-a
poraefete	poraefete
le	le
le-kala	lekala
la	la
ma-tlo	ma-tlo
ho	ho
kgak-ol-a	kgakol-a
di-hlahiswa	di-hlahiswa
tse	tse
ntjha	ntjha
tse	tse
tla	tl-a
sheb-an-a	sheb-an-a
le	le
n-tlhoko	n-tlhoko
ya	y-a
bo-dulo	bo-dulo
ba-heso	ba-heso
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
re	re
its-e	i-ts-e
ba-tho	ba-tho
ba	ba
ma-hae-ng	ma-haeng
le	le
bona	bon-a
ba	ba
le	le
n-tokelo	n-tokelo
ya	y-a
ho	ho
b-a	ba
le	le
mo-tlakase	mo-tlakase
me-tsi	me-tsi
ma-tlwana	ma-tlwana
tsama-is-w-a-ng	tsama-is-w-a-ng
ka	ka
me-tsi	me-tsi
le	le
di-tsela	di-tsela
ra	ra
r-e	re
ba	ba
tshwane-ts-e	tshwane-ts-e
ho	ho
b-a	ba
le	le
di-tsi	di-tsi
bo-ikgathollo	bo-ikgathollo
le	le
di-papadi	di-papadi
hammoho	hamoho
le	le
di-tsi	di-tsi
tsa	ts-a
ma-benkele	ma-benkele
tse	tse
jwaloka	jwalok-a
tse	tse
me-tsemeholo-ng	me-tsemeholong
tabe-ng	tab-e-ng
ena	ena
re	re
kgak-o-ts-e	kgakots-e
se-tsha	se-tsha
sa	sa
pele	pele
sa	sa
n-teko	n-teko
sa	sa
le-naneo	le-naneoo
le	le
phatlal-ets-e-ng	phatlale-ts-e-ng
la	la
n-tshetsopele	ntshetsopele
ya	y-a
ma-hae	ma-hae
giyani	giyani
limpopo	limpopo
ka	ka
n-phato	n-phato
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
ho	ho
tloh-a	tloh-a
ka	ka
n-ako	n-ako
eo	eo
ma-tlo	ma-tlo
ah-il-w-e	ah-il-w-e
tswelopele	tsw-el-opele
s-e	se
e-nts-w-e	ents-w-e
se-bake-ng	bakeng
sa	sa
ho	ho
f-an-a	f-an-a
ka	ka
mo-theo	mo-theo
wa	w-a
se-tjhaba	se-tjhaba
ho	ho
tshehets-a	tshehets-a
n-tshetsopele	ntshetsopele
ya	y-a
n-temo	n-temo
le	le
n-kwetliso	n-kwetliso
se-bake-ng	bakeng
sa	sa
ba-ahi	ba-ahi
n-phumantsho	n-phumantsho
ya	y-a
di-tsha	di-tsha
tsa	ts-a
bo-phelo	bo-phelo
bo	bo
botle	botle
le	le
n-thuto	n-thuto
di	di
ntla-f-ets-e	ntla-f-ets-e
re	re
ke-ny-a	ke-ny-a
n-tshebetso-ng	n-tshebetsong
ma-naneo	ma-naneooooooo
tshwan-a-ng	tshwan-an-a-ng
le	le
lena	le-na
di-tshe-ng	di-tsheng
tse	tse
sup-il-e-ng	sup-il-e-ng
ho	ho
phatlall-a	phatlalla-l-a
le	le
n-aha	nah-a
mme	mo-mme
di	di
tsw-el-a	tsw-el-a
mo-lemo	mo-lemo
di-wate	di-wate
tse	tse
ka	ka
re	re
ik-em-is-ed-its-e	ik-em-is-ed-its-e
ho	ho
b-a	ba
le	le
di-tsha	di-tsha
di-wate-ng	di-wateng
tse	tse
re	re
batl-a	batl-a
hore	hore
ya	y-a
ma-lapa	ma-lapa
di-tshe-ng	di-tsheng
tsena	tsena
di	di
kgon-e	kgon-e
ho	ho
mekamekan-a	me-kamekana
le	le
di-tlhoko	di-tlhoko
tsa	ts-a
di-jo	di-jo
ho	ho
tsw-a	tsw-a
n-tlhahiso-ng	n-tlhahisong
eo	eo
ba	ba
ik-ets-ed-its-e-ng	ik-ets-e-d-its-e-ng
yona	yon-a
ka	ka
hanyane	hanyane
hanyane	hanyane
ho	ho
tla	tl-a
lok-a	lok-a
hantlentle	hantlentle
ba-heso	ba-heso
ho	ho
thw-e	thw-e
di-ntho	di-ntho
tse	tse
kgolo	n-kgolo
di	di
qal-a	qal-a
hanyane	hanyane
re	re
bo-e-ts-e	bo-e-ts-e
re	re
hlok-a	hlok-a
ho	ho
kopa-ny-a	kopa-ny-a
betere	betere
ntlafatso	n-ntlafatso
ya	y-a
le-fatshe	le-fatshe
le	le
ma-naneo	ma-naneooooooo
tshehetso	n-tshehetso
ya	y-a
n-temo	n-temo
n-katleho	n-katleho
ya	y-a
rona	ron-a
tabe-ng	tab-e-ng
ena	ena
tla	tl-a
meth-w-a	me-thwa
ka	ka
n-keketseho	n-keketseho
ya	y-a
le-nane	le-nane
la	la
bo-rapolasi	bo-rapolasi
ba	ba
banyenyane	banyenyane
ba	ba
atl-eh-a-ng	atl-eh-a-ng
mo-ruo-ng	mo-ruong
se-pikara	se-pikara
se	se
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
le	le
mo-dulasetulo	mo-dulasetulo
wa	w-a
ncop	ncopo
ha	ha
re	re
n-aha	nah-a
ru-il-e-ng	ru-il-e-ng
ka	ka
me-tsi	me-tsi
empa	emp-a
re	re
nts-e	nts-e
re	re
lahl-eh-el-w-a	lahl-eh-il-w-a
ke	ke
me-tsi	me-tsi
mangata	ma-ngata
ka	ka
di-peipi	di-peipi
tse	tse
dutl-a-ng	dutl-a-ng
le	le
mo-theo	mo-theo
wa	w-a
se-tjhaba	se-tjhaba
sa	sa
tsepam-a-ng	tsepam-a-ng
re	re
tla	tl-a
tl-a	tl-a
ka	ka
me-kgwa	me-kgwa
ya	y-a
ho	ho
fokots-a	fokots-a
n-tahlehelo	n-tahlehelo
ya	y-a
me-tsi	me-tsi
ka	ka
halofo	halofo
ka	ka
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
jwaloka	jwalok-a
ka	ka
n-karolo	n-karolo
ya	y-a
rona	ron-a
ya	y-a
ho	ho
ets-a	ets-a
me-kutu	me-kutu
ya	y-a
ho	ho
kgothal-e-ts-a	kgothal-e-ts-a
n-kgolo	n-kgolo
ma-tla	matla
ya	y-a
mo-ruo	mo-ruo
re	re
sheb-il-e	sheb-il-e
ho	ho
fokots-a	fokots-a
di-tjeho	di-tjeho
tsa	ts-a
ho	ho
hok-ah-an-a	hok-ah-an-a
se-tjhaba	se-tjhaba
sa	sa
ma-aforika	ma-aforika
bo-rwa	bo-rwa
se	se
ka	ka
lab-el-l-a	label-l-a
n-phokotso	n-phokotso
nngwe	nngwe
phatlal-ets-e-ng	phatlale-ts-e-ng
ya	y-a
se-kgahla	se-kgahla
sa	sa
di-tjeho	di-tjeho
tsa	ts-a
di-selefouno	di-selefouno
me-hala	me-hala
ya	y-a
ka	ka
ma-lape-ng	ma-lapeng
le	le
ya	y-a
se-tjhaba	se-tjhaba
re	re
sebe-lets-a	sebe-lets-a
ho	ho
ekets-a	ekets-a
le-belo	le-belo
la	la
di-kgokahanyo	di-kgokahanyo
tse	tse
phatlal-ets-e-ng	phatlale-ts-e-ng
le	le
ho	ho
nete-fa-ts-a	nete-fa-ts-a
ma-emo	ma-emo
ho-dimo	ho-dimo
n-tshebeletso	n-tshebeletso
inthanete	i-nthanete
re	re
i-pap-is-its-e	i-pap-is-its-e
le	le
ma-emo	ma-emo
ma-tjhaba	matjhaba
ma-aforika	ma-aforika
bo-rwa	bo-rwa
heso	heso
mo-mmuso	mmmmuso
ona	ona
tla	tl-a
nete-fa-ts-a	nete-fa-ts-a
hore	hore
thepa	thep-a
ya	y-a
rona	ron-a
ya	y-a
n-tikoloho	n-tikoloho
le	le
me-hlodi	me-hlodi
ya	y-a
n-tlhaho	n-tlhaho
di	di
tshir-el-e-dits-w-e	tshir-el-ed-its-w-e
hantle	hantle
mme	mo-mme
di	di
dul-a	dul-a
di	di
ntla-fa-ts-w-a	ntla-fa-ts-w-a
rona	ron-a
mmoho	moho
le	le
brazil	brazil
india	india
le	le
china	china
mmoho	moho
le	le
united	united
states	states
em-e-ts-e	em-e-ts-e
di-naha	di-naha
tsa	ts-a
le-fatshe	le-fatshe
tse	tse
tsw-e-ts-e-ng	tsw-ets-e-ng
pele	pele
re	re
ken-ts-e	ken-ts-e
le-tsoho	le-tsoho
n-tumellano-ng	n-tumelanong
anane-ts-w-e-ng	anane-ts-w-e-ng
n-kopano-ng	n-kopanong
ya	y-a
ho	ho
fetofeto-h-a	fetofetoh-a
ha	ha
tlelaemete	tlelaemete
ya	y-a
copenhagen	copenh-ah-e-ng
ka	ka
tshitwe	tshit-w-e
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
le	le
ha	ha
sa	sa
tsamay-a	tsamay-a
ka	ka
tsela	tsel-a
eo	eo
re	re
n-e	ne
re	re
rat-a	rat-a
ka	ka
yona	yon-a
ke	ke
mo-hato	mo-hato
wa	w-a
bo-hlokwa	bo-hlokwa
ho	ho
y-a	y-a
pele	pele
hobane	hobane
tlam-a	tlam-a
di-naha	di-naha
ho	ho
arab-el-a	arab-el-a
tabe-ng	tab-e-ng
ya	y-a
ho	ho
fetofeto-h-a	fetofetoh-a
ha	ha
tlelaemete	tlelaemete
re	re
tla	tl-a
sebets-a	sebets-a
ka	ka
ma-tla	matla
le	le
bo-mphato	bo-mphato
ba	ba
rona	ron-a
ba	ba
ma-tjhabe-ng	ma-tjhabeng
se-bake-ng	bakeng
sa	sa
n-tumellano	n-tumelano
re	re
tlam-a-ng	tlam-a-ng
bohle	bo-hle
ka	ka
mo-lao	mo-lao
jwaloka	jwalok-a
aforika	aforika
bo-rwa	bo-rwa
re	re
i-tlam-m-e	i-tlam-e
ka	ka
bo-ithaopi	bo-ithaopi
ho	ho
fihl-el-l-a	fihl-el-l-a
di-ntlha	di-ntlha
tse	tse
its-e-ng	i-ts-e-ng
tse	tse
tob-an-e-ng	tob-an-e-ng
le	le
ho	ho
ntsh-w-a	ntsh-w-a
ha	ha
mo-si	mosi
mme	mo-mme
re	re
tla	tl-a
tsw-el-a	tsw-el-a
pele	pele
ka	ka
ma-wala	ma-wala
rona	ron-a
n-ako	n-ako
telele	telel-e
ho	ho
lw-an-tsh-a	lwantsh-a
ho	ho
fetofeto-h-a	fetofetoh-a
ha	ha
tlelaemete	tlelaemete
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
re	re
tla	tl-a
matla-fa-ts-a	matla-fa-ts-a
me-kutu	me-kutu
ya	y-a
rona	ron-a
ya	y-a
ho	ho
tl-o	tlo
ntsh-ets-a	ntsh-ets-a
pele	pele
di-tabatabelo	di-tabatabelo
tsa	ts-a
aforika	aforika
bo-rwa	bo-rwa
le-fatshe-ng	le-fatsheng
ka	ka
bo-phara	bo-phara
re	re
tla	tl-a
tshehets-a	tshehets-a
me-kutu	me-kutu
ya	y-a
ho	ho
potlak-is-a	potlak-is-a
n-kgokahanyo	n-kgokaha-nyo
ya	y-a
di-polotiki	di-polotiki
le	le
ikonomi	i-konomi
ya	y-a
le-batowa	le-batowa
la	la
sadc	sadcdcdc
le	le
ho	ho
ntsh-ets-a	ntsh-ets-a
pele	pele
n-kgwebo	n-kgwebo
le	le
ma-tsete	ma-tsete
n-kopanelo	n-kopanelo
ka	ka
le-batowa	le-batowa
aforika	aforika
bo-rwa	bo-rwa
tsw-el-a	tsw-el-a
pele	pele
ho	ho
bapal-a	bapal-a
n-karolo	n-karolo
ya	y-a
bo-etapele	bo-etapele
me-kutu-ng	me-kutung
ya	y-a
kontinente	kontinente
ya	y-a
ho	ho
matla-fa-ts-a	matla-fa-ts-a
n-kopano	n-kopano
ya	y-a
aforika	aforika
le	le
di-karolo	di-karolo
tsa	ts-a
yona	yon-a
le	le
ho	ho
sebe-lets-a	sebe-lets-a
bo-nngwe	bon-ng-w-e
re	re
tla	tl-a
tsepam-is-a	tsepam-is-a
ma-tla	matla
rona	ron-a
se-bake-ng	bakeng
sa	sa
ho	ho
tso-s-el-ets-a	tso-s-el-ets-a
se-lekane	se-lekane
se	se
setjha	setjha
se-bake-ng	bakeng
sa	sa
n-tshetsopele-ng	ntshetsopeleng
ya	y-a
aforika	aforika
l-e	le
le-ano	le-ano
se-bake-ng	bakeng
sa	sa
n-tshetsopele	ntshetsopele
ya	y-a
mo-ruo	mo-ruo
ka	ka
hara	hara
kontinente	kontinente
ma-aforika	ma-aforika
bo-rwa	bo-rwa
heso	heso
n-tshebeletso	n-tshebeletso
ya	y-a
se-tjhaba	se-tjhaba
lok-el-a	lok-el-a
ho	ho
arab-el-a	arab-el-a
n-kgoeletso	n-kgoeletso
ya	y-a
ho	ho
ets-a	ets-a
se-hla	se-hla
sena	se-na
sa	sa
n-tshebetso	n-tshebetso
potlak-il-e-ng	potlak-il-e-ng
le	le
n-tshebetso	n-tshebetso
ntla-f-ets-e-ng	ntla-f-ets-e-ng
ya	y-a
mo-mmuso	mmmmuso
re	re
batl-a	batl-a
n-tshebetso	n-tshebetso
tsw-il-e-ng	tsw-il-e-ng
ma-tsoho	ma-tsooho
le	le
ho	ho
sebets-a	sebets-a
ka	ka
thata	n-thata
re	re
hlok-a	hlok-a
ba-sebeletsi	ba-sebeletsi
ba	ba
se-tjhaba	se-tjhaba
ba	ba
i-te-ts-e-ng	i-te-ts-e-ng
ba	ba
n-a-ng	nang
le	le
bo-kgoni	bo-kgoni
le	le
ba	ba
kgathal-l-a-ng	kgathal-l-a-ng
di-tlhoko	di-tlhoko
tsa	ts-a
ba-ahi	ba-ahi
mo-mmuso	mmmmuso
s-e	se
sebets-an-a	sebets-an-a
le	le
n-tshetsopele	ntshetsopele
le	le
ho	ho
ke-ny-a	ke-ny-a
n-tshebetso-ng	n-tshebetsong
le-naneo	le-naneoo
la	la
n-tshetsopele	ntshetsopele
ya	y-a
n-tshebeletso	n-tshebeletso
ya	y-a
se-tjhaba	se-tjhaba
le	le
tla	tl-a
beh-a	beh-a
le-ihlo	le-ihlo
bo-itshwaro	bo-itshwaro
le	le
ma-emo	ma-emo
se-bake-ng	bakeng
sa	sa
ba-sebeletsi	ba-sebeletsi
ba	ba
se-tjhaba	se-tjhaba
ma-faphe-ng	ma-fapheng
ohle	ohle
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
re	re
tsw-el-a	tsw-el-a
pele	pele
ka	ka
me-kutu	me-kutu
ya	y-a
rona	ron-a
ya	y-a
ho	ho
fed-is-a	fed-is-a
bo-bodu	bo-bodu
le	le
bo-qhekanyetsi	bo-qhekanyetsi
ha	ha
ho	ho
rek-w-a	rek-w-a
thepa	thep-a
ya	y-a
mo-mmuso	mmmmuso
le	le
n-phano	n-phano
ya	y-a
di-thendara	di-thendara
le	le
di-kopo-ng	di-kopong
tsa	ts-a
ma-ngolo	ma-ngolo
ho	ho
kgann-a	kgana
di-tjhelete	di-tjhelete
tsa	ts-a
di-thuso	di-thuso
ya	y-a
se-tjhaba	se-tjhaba
le	le
ma-ngolo	ma-ngolo
bo-itsebiso	bo-itsebiso
hara	hara
tse	tse
ding	di-ng
re	re
thab-ets-e	thab-e-ts-e
tswelopele	tsw-el-opele
eo	eo
mo-mmuso	mmmmuso
ets-a-ng	ets-a-ng
di-bake-ng	di-bakeng
tse	tse
ding	di-ng
beke-ng	bekeng
ena	ena
re	re
fed-is-its-e	fed-is-its-e
di-tefello	di-tefello
tse	tse
tsa	ts-a
bo-qhekanyetsi	bo-qhekanyetsi
ba	ba
di-tjhelete	di-tjhelete
tsa	ts-a
di-thuso	di-thuso
tsa	ts-a
se-tjhaba	se-tjhaba
tse	tse
ets-a-ng	ets-a-ng
di-milione	di-milione
tse	tse
komiti	komiti
ya	y-a
rona	ron-a
ya	y-a
n-kopanelo	n-kopanelo
ya	y-a
ma-tona	ma-tona
se-bake-ng	bakeng
sa	sa
bo-bodu	bo-bodu
batl-an-a	batl-an-a
le	le
di-tsela	di-tsela
tsa	ts-a
ho	ho
hlol-a	hlol-a
bo-bodu	bo-bodu
ka	ka
ho	ho
pheth-ahal-a	pheth-ahala
ha	ha
re	re
sebets-a	sebets-a
mmoho	moho
re	re
ka	ka
ets-a	ets-a
haholwanyane	haholwanyane
ba-heso	ba-heso
jwaloka	jwalok-a
ha	ha
le	le
hlokomel-a	hlokomel-a
re	re
bu-ts-e	bu-ts-e
mo-hala	mo-hala
kgeth-eh-il-e-ng	kgeth-il-e-ng
wa	w-a
mo-presidente	mo-presidentente
ho	ho
ets-a	ets-a
hore	hore
se-tjhaba	se-tjhaba
se	se
fihl-el-l-a	fihl-el-l-a
ofisi	ofisi
ya	y-a
mo-presidente	mo-presidentente
habonolo	habonolo
le	le
ho	ho
thus-a	thus-a
ho	ho
tlo-s-a	tlo-s-a
di-thibelo	di-thibelo
tsa	ts-a
n-phano	n-phano
ya	y-a
di-tshebeletso	di-tshebeletso
mo-hala	mo-hala
kgeth-eh-il-e-ng	kgeth-il-e-ng
bon-tsh-a	bon-tsh-a
ma-ikemisetso	ma-ikemisetso
mo-mmuso	mmmmuso
ho	ho
ets-a	ets-a
di-ntho	di-ntho
ka	ka
tsela	tsel-a
fapan-e-ng	fapan-e-ng
e-nts-e	entse
n-phapa-ng	phapang
ma-phelo-ng	ma-phelong
ma-aforika	ma-aforika
bo-rwa	bo-rwa
mangata	ma-ngata
re	re
ka	ka
qoll-a	qol-a
mo-fumahadi	mo-fumahadi
buziwe	bu-iw-e
ngaleka	ngal-ek-a
wa	w-a
mount	mount
frere	frere
eo	eo
mo-hala	mo-hala
wa	w-a
hae	hae
b-il-e-ng	bil-e-ng
wa	w-a
pele	pele
n-tshebeletso-ng	n-tshebeletsong
ena	ena
mabapi	ma-bapi
le	le
pentjhene	pentjhene
ya	y-a
mo-fu	mo-fu
mo-nna	monana
wa	w-a
hae	hae
teng	n-teng
hara	hara
rona	ron-a
bo-siu-ng	bosiung
bona	bon-a
hara	hara
rona	ron-a
re	re
bo-e-ts-e	bo-e-ts-e
re	re
le	le
mo-nghadi	mo-ngadi
nkululeko	n-nkuleko
cele	cele
ya	y-a
il-e-ng	il-e-ng
thus-w-a	thus-w-a
ho	ho
fuman-a	fuman-a
ma-ngolo	ma-ngolo
bo-itsebiso	bo-itsebiso
mo	mo
thus-its-e-ng	thus-its-e-ng
ho	ho
i-ngod-is-a	i-ngod-is-a
yunivesithi-ng	yunivesithing
ya	y-a
thekenoloji	thekenoloji
ya	y-a
tshwane	tshwane
tsena	tsena
ke	ke
di-pale	di-pale
tse	tse
pedi	pedi
feela	fe-el-a
tsa	ts-a
n-katleho	n-katleho
ya	y-a
rona	ron-a
ka	ka
di-ntlha	di-ntlha
le	le
me-hlala	me-hlala
meng	meng
re	re
hlway-a	hlway-a
bo-fokodi	bo-fokodi
bo	bo
lok-el-a-ng	lok-el-a-ng
ho	ho
lok-is-w-a	lok-is-w-a
ke	ke
ma-fapha	ma-fapha
fapan-e-ng	fapan-e-ng
mo-mmuso	mmmmuso
ka	ka
thuso	n-thuso
ya	y-a
se-pikara	se-pikara
re	re
mem-m-e	meme
bo-emedi	bo-emedi
ba	ba
me-kga	me-kga
mengata	me-ngata
ho	ho
tsw-a	tsw-a
palamente-ng	palamenteng
ho	ho
et-el-a	et-el-a
se-tsha	se-tsha
sa	sa
rona	ron-a
sa	sa
me-hala	me-hala
hore	hore
ma-loko	ma-loko
palamente	palamente
i-pon-el-e	i-pon-el-e
ka	ka
ma-hlo	mahlo
mo-sebetsi	mo-sebetsi
ets-w-a-ng	ets-w-a-ng
ba-heso	ba-heso
le	le
me-tswalle	me-tswalle
ke	ke
nehel-an-e	nehel-an-e
ka	ka
di-ntlha	di-ntlha
tse	tse
ka	ka
se-hlohlolo-ng	se-hloohlong
tsa	ts-a
me-ralo	me-ralo
ya	y-a
rona	ron-a
se-bake-ng	bakeng
sa	sa
bo-itlamo	bo-itlamo
ba	ba
rona	ron-a
ba	ba
n-kopanelo	n-kopanelo
jwaloka	jwalok-a
mo-mmuso	mmmmuso
ho	ho
ba-tho	ba-tho
ba	ba
aforika	aforika
bo-rwa	bo-rwa
n-puo	n-puo
ya	y-a
ma-emo	ma-emo
se-tjhaba	se-tjhaba
f-an-a	f-an-a
ka	ka
n-kakaretso	n-kakaretso
phatlal-ets-e-ng	phatlale-ts-e-ng
ya	y-a
mo-ralo	mo-ralo
wa	w-a
rona	ron-a
wa	w-a
n-tshebetso	n-tshebetso
ma-tona	ma-tona
tla	tl-a
nehel-an-a	nehel-an-a
ka	ka
di-ntlha	di-ntlha
ka	ka
bo-tebo	bo-tebo
di-puo-ng	di-puong
tsa	ts-a
ona	ona
tsa	ts-a
n-kgetho	n-kgetho
ya	y-a
di-tekanyetso	di-tekanyetso
tse	tse
fapan-e-ng	fapan-e-ng
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
ma-aforika	ma-aforika
bo-rwa	bo-rwa
heso	heso
ka	ka
pudungwana	pudung-w-an-a
se-lemo-ng	se-lemong
sena	se-na
re	re
tla	tl-a
tshway-a	n-tshwaya
se-hopotso	se-hopotso
sa	sa
di-lemo	di-lemo
tse	tse
tsa	ts-a
ho	ho
fihl-a	fihl-a
ha	ha
ma-india	ma-india
aforika	aforika
bo-rwa	bo-rwa
sena	se-na
se	se
f-an-a	f-an-a
ka	ka
mo-nyetla	monyetla
wa	w-a
ho	ho
ananel-a	ananel-a
nyehelo	nyehelo
ya	y-a
bo-hlokwa	bo-hlokwa
ya	y-a
se-tjhaba	se-tjhaba
sa	sa
ma-india	ma-india
ma-faphe-ng	ma-fapheng
ba-sebetsi	ba-sebetsi
n-kgwebo	n-kgwebo
saense	saense
di-papadi	di-papadi
n-tumelo	n-tumelo
bo-nono	bonono
bo-tjhaba	bo-tjhaba
le	le
n-phihlello	n-phihlellllo
le	le
tiiisetso	n-tiiiisetso
ya	y-a
demokerasi	demokerasi
ya	y-a
rona	ron-a
ba-heso	ba-heso
le	le
me-tswalle	me-tswalle
ha	ha
ke	ke
nk-e	nk-e
mo-nyetla	monyetla
ona	ona
hore	hore
hapehape	hap-eh-ape
re	re
fet-is-ets-e	fet-is-ets-e
ma-tshediso	ma-tshediso
tsw-a-ng	tsw-a-ng
bo-tebo-ng	bo-tebong
ba	ba
di-pelo	di-pelo
tsa	ts-a
rona	ron-a
ho	ho
mo-mmuso	mmmmuso
le	le
ba-tho	ba-tho
ba	ba
haiti	haiti
ka	ka
koduwa	koduwa
kgolo	n-kgolo
ba	ba
w-e-ts-e-ng	w-ets-ng
re	re
thab-il-e	thab-il-e
haholo	haholo
hore	hore
me-ifo	me-ifo
ya	y-a
rona	ron-a
ya	y-a
pholoso	n-pholoso
kgon-n-e	kgon-e
ho	ho
y-a	y-a
thus-a	thus-a
ke	ke
lakats-a	lakats-a
ho	ho
ananel-a	ananel-a
ka	ka
ho	ho
i-kgeth-a	i-kgeth-a
mo-aforika	mo-aforika
bo-rwa	bo-rwa
sa	sa
k-e-ng	keng
hlol-eh-a	hlol-eh-a
ho	ho
thus-a	thus-a
n-ako-ng	n-akong
tsa	ts-a
di-koduwa	di-koduwa
le	le
ho	ho
re	re
thus-a	thus-a
ho	ho
ntsh-ets-a-pele	ntshets-a- pele
n-pono	n-pono
ya	y-a
se-tjhaba	se-tjhaba
se	se
kgathal-l-a-ng	kgathal-l-a-ng
re	re
amohel-a	amohel-a
ngaka	ngaka
imtiaz	imtiazz
sooliman	sooliman
wa	w-a
ka	ka
hara	hara
n-tlo	n-tlo
ena	ena
kajeno	n-kajeno
ma-aforika	ma-aforika
bo-rwa	bo-rwa
heso	heso
ho	ho
tshwar-a	tshwar-a
di-papadi	di-papadi
tsa	ts-a
mo-hope	mo-hope
wa	w-a
le-fatshe	le-fatshe
wa	w-a
fifa	f-if-a
ho	ho
ets-a	ets-a
se-lemo	se-lemo
sa	sa
b-e	be
sa	sa
n-tshebetso	n-tshebetso
l-e	le
ka	ka
nnete	nete
re	re
du-ts-e	duts-e
di-lemo	di-lemo
tse	tse
telele	telel-e
re	re
rer-a	rer-a
se-bake-ng	bakeng
sa	sa
mo-hope	mo-hope
ona	ona
wa	w-a
le-fatshe	le-fatshe
re	re
s-ets-e	setse
feela	fe-el-a
ka	ka
di-kgwedi	di-kgwedi
tse	tse
tharo	n-tharo
mme	mo-mme
re	re
ik-em-is-ed-its-e	ik-em-is-ed-its-e
ho	ho
atl-eh-a	atl-eh-a
mo-theo	mo-theo
wa	w-a
se-tjhaba	se-tjhaba
n-tshireletso	n-tshireletso
le	le
di-tlhophiso	di-tlhophiso
di	di
mo-tjhe-ng	mo-tjheng
se-bake-ng	bakeng
sa	sa
ho	ho
nete-fa-ts-a	nete-fa-ts-a
thonamente	thonamente
atl-eh-il-e-ng	atl-eh-il-e-ng
jwaloka	jwalok-a
se-tjhaba	se-tjhaba
re	re
lok-el-a	lok-el-a
ho	ho
is-a	is-a
di-teboho	di-teboho
ho	ho
komiti	komiti
ya	y-a
le-hae	le-hae
hloph-is-a-ng	hloph-is-a-ng
se-bake-ng	bakeng
sa	sa
me-kutu	me-kutu
ya	y-a
bona	bon-a
babats-eh-a-ng	babats-eh-a-ng
re	re
lakal-ets-a	lakalets-a
mo-dulasetulo	mo-dulasetulo
wa	w-a
loc	loc
irvin	irvin
khoza	khoz-a
ceo	ceo
danny	dany
jordaan	jordan
le	le
mo-kwetlisi	mo-kwetlisi
wa	w-a
ba-fana	ba-fana
ba-fana	ba-fana
carlos	carlos
alberto	alberto
parreira	pareira
tsohle	tsohle
tse	tse
mo-lemo	mo-lemo
se-bake-ng	bakeng
sa	sa
di-kgwedi	di-kgwedi
tse	tse
tl-a-ng	tl-a-ng
mo-presidente	mo-presidentente
mandela	mandela
n-e	ne
l-e	le
bo-hare-ng	bo-hareng
ba	ba
ho	ho
thus-a	thus-a
n-aha	nah-a
ho	ho
hlol-a	hlol-a
di-tokelo	di-tokelo
tsa	ts-a
ho	ho
tshwar-a	tshwar-a
mo-rero	mo-rero
ona	ona
moholo	moholo
ha	ha
ho	ho
l-e	le
jwalo	jwalo
re	re
lok-el-a	lok-el-a
ho	ho
ets-a	ets-a
mo-hope	mo-hope
wa	w-a
le-fatshe	le-fatshe
n-katleho	n-katleho
kgolo	n-kgolo
se-bake-ng	bakeng
sa	sa
