la-oll-a	laol-l-a
ho	ho
bo-nyane	bonyyane
ma-tlo	ma-tlo
ka	k-a
Re	re
rer-a	rera
ho	ho
beh-el-l-a	beh-el-l-a
ka	k-a
thoko	n-thoko
di-hektare	di-hektare
tse	tse
tsa	tsa
N-aha	n-aha
du-ts-e-ng	du-ts-e-ng
hantle	hantle
se-bake-ng	ba-keng
sa	sa
ba	ba
amohel-a-ng	amohel-a-ng
me-putso	me-putso
tlase	tlase
le	le
ma-tlo	ma-tlo
kgon-eh-a-ng	kgon-eh-a-ng
Ntlafatso	n-ntlafatso
ntjha	ntjha
ya	y-a
bo-hlokwa	bohlookwa
tla	tla
b-a	ba
ho	ho
ke-ny-el-ets-a	ke-ny-el-ets-a
ba-tho	ba-tho
bao	ba-o
me-putso	me-putso
ya	y-a
bona	bo-na
phaham-e-ng	phaham-e-ng
haholo	haholo
ho	ho
r-e	re
ba	ba-
ka	k-a
fuman-a	fuman-a
di-tshehetso	di-tshehetso
tsa	tsa
mo-mmuso	mo-uso
empa	emp-a
ba	ba-
amohel-a	amohel-a
tjhelete	tjhelete
tlase	tlase
hore	hore
ba	ba
ka	k-a
fuman-a	fuman-a
n-kadimo	n-kadimo
banke-ng	bankkng
Re	re
ke-ny-a	kenny-a
mo-kgwa	mo-kgwa
wa	wa
le-tlole	letlool-e
la	la
tiisetso	n-iisetso
la	la
bilione	bilione
ho	ho
kgothal-e-ts-a	kgothal-e-ts-a
di-banka	di-banka
tsa	tsa
poraefete	poraefete
le	le
le-kala	lek-la
la	la
ma-tlo	ma-tlo
ho	ho
kgak-ol-a	kgakol-a
di-hlahiswa	di-hlahiswa
tse	tse
ntjha	ntjha
tse	tse
tla	tla
sheb-an-a	sheb-an-a
le	le
n-tlhoko	n-tlhoko
ya	y-a
bo-dulo	bo-dulo
Ba-heso	ba-heso
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
re	re
its-e	i-ts-e
ba-tho	ba-tho
ba	ba-
ma-hae-ng	ma-haeng
le	le
bona	bo-na
ba	ba
le	le
n-tokelo	n-tokelo
ya	y-a
ho	ho
b-a	ba
le	le
mo-tlakase	mo-tlakase
me-tsi	me-tsi
ma-tlwana	ma-tlwana
tsama-is-w-a-ng	tsama-is-w-a-ng
ka	k-a
me-tsi	me-tsi
le	le
di-tsela	di-tsela
ra	ra
r-e	re
ba	ba
tshwane-ts-e	tshwane-ts-e
ho	ho
b-a	ba-
le	le
di-tsi	di-tsi
bo-ikgathollo	bo-ikgathollo
le	le
di-papadi	di-papadi
hammoho	hamhoho
le	le
di-tsi	di-tsi
tsa	tsa
ma-benkele	ma-benkele
tse	tse
Jwaloka	jwalok-a
tse	tse
me-tsemeholo-ng	me-tsemeholong
Tabe-ng	tabeng
ena	en-a
re	re
kgak-o-ts-e	kgak-o-ts-e
se-tsha	setsh-a
sa	sa
pele	pele
sa	sa
n-teko	n-teko
sa	sa
le-naneo	le-naneo
le	le
phatlal-ets-e-ng	phatlal-e-ts-e-ng
la	la
n-tshetsopele	ntshetsopele
ya	y-a
Ma-hae	ma-hae
Giyani	miyani
Limpopo	limpopo
ka	k-a
N-Phato	n-phato
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
Ho	ho
tloh-a	tloh-a
ka	k-a
n-ako	n-ako
eo	eo
ma-tlo	ma-tlo
ah-il-w-e	ah-il-w-e
Tswelopele	tswelopele
s-e	se
e-nts-w-e	ents-w-e
se-bake-ng	ba-keng
sa	sa
ho	ho
f-an-a	f-an-a
ka	k-a
mo-theo	mo-theo
wa	wa
se-tjhaba	se-tjhaba
ho	ho
tshehets-a	tsheh-ts-a
n-tshetsopele	ntshetsopele
ya	y-a
n-temo	n-temo
le	le
n-kwetliso	n-kwetliso
se-bake-ng	ba-keng
sa	sa
ba-ahi	ba-ahi
N-Phumantsho	n-phumantsho
ya	y-a
di-tsha	di-tsha
tsa	tsa
bo-phelo	bo-phelo
bo	bo
botle	botle
le	le
n-thuto	n-thuto
di	di-
ntla-f-ets-e	ntla-f-ets-e
Re	re
ke-ny-a	kenny-a
n-tshebetso-ng	tshebetsong
ma-naneo	mananeo
tshwan-a-ng	tshwan-a-ng
le	le
lena	le-na
di-tshe-ng	di-tsheng
tse	tse
sup-il-e-ng	sup-il-e-ng
ho	ho
phatlall-a	phatlall-a
le	le
n-aha	n-aa
mme	mo-e
di	di-
tsw-el-a	tsw-el-a
mo-lemo	mo-lemo
di-wate	di-wate
tse	tse
Ka	k-a
re	re
ik-em-is-ed-its-e	i--em-is-ed-its-e
ho	ho
b-a	ba
le	le
di-tsha	di-tsha
di-wate-ng	di-wateng
tse	tse
Re	re
batl-a	batl-a
hore	hore
ya	y-a
ma-lapa	ma-lapa
di-tshe-ng	di-tsheng
tsena	tsen-a
di	di
kgon-e	kgon-e
ho	ho
mekamekan-a	me-kamekana
le	le
di-tlhoko	di-tlhoko
tsa	tsa
di-jo	di-jo
ho	ho
tsw-a	tswa
n-tlhahiso-ng	n-tlhahisong
eo	eo
ba	ba
ik-ets-ed-its-e-ng	i--ets-ed-its-e-ng
yona	yona
ka	k-a
Hanyane	hanyane
hanyane	hanyane
ho	ho
tla	tla
lok-a	lok-a
hantlentle	hantlentle
ba-heso	ba-heso
ho	ho
thw-e	thw-e
di-ntho	di-ntho
tse	tse
kgolo	n-kgolo
di	di-
qal-a	qal-a
hanyane	hanyane
Re	re
bo-e-ts-e	bo-ets-e
re	re
hlok-a	hlok-a
ho	ho
kopa-ny-a	kopany-a
betere	betere
ntlafatso	n-tllafatso
ya	y-a
le-fatshe	lef-atsh-e
le	le
ma-naneo	mananeo
tshehetso	tshehetso
ya	y-a
n-temo	n-temo
n-katleho	n-katleho
ya	y-a
rona	ron-a
tabe-ng	tabeng
ena	en-a
tla	tla
meth-w-a	meth-w-a
ka	k-a
n-keketseho	n-keketseho
ya	y-a
le-nane	len-an-e
la	la
bo-rapolasi	bo-rapolasi
ba	ba
banyenyane	banyenyane
ba	ba-
atl-eh-a-ng	atl-eh-a-ng
mo-ruo-ng	mo-ruong
se-pikara	se-pikara
se	se
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
le	le
mo-dulasetulo	mo-dulasetulo
wa	waa
NCOP	ncop
Ha	ha
re	re
n-aha	naha
ru-il-e-ng	ru-il-e-ng
ka	k-a
me-tsi	me-tsi
Empa	emp-a
re	re
nts-e	nts-e
re	re
lahl-eh-el-w-a	lahleh-el-w-a
ke	ke
me-tsi	me-tsi
mangata	mangata
ka	k-a
di-peipi	di-peipi
tse	tse
dutl-a-ng	du-lang
le	le
mo-theo	mo-theo
wa	waa
se-tjhaba	se-tjhaba
sa	sa
tsepam-a-ng	tsepamang
Re	re
tla	tla
tl-a	tla
ka	k-a
me-kgwa	me-kgwa
ya	y-a
ho	ho
fokots-a	fokots-a
n-tahlehelo	n-tahlehelo
ya	y-a
me-tsi	me-tsi
ka	k-a
halofo	halofo
ka	k-a
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
Jwaloka	jwalok-a
ka	k-a
n-karolo	n-karolo
ya	y-a
rona	ron-a
ya	y-a
ho	ho
ets-a	ets-a
me-kutu	me-kutu
ya	y-a
ho	ho
kgothal-e-ts-a	kgothal-e-ts-a
n-kgolo	n-kgolo
ma-tla	matla
ya	y-a
mo-ruo	mo-ruo
re	re
sheb-il-e	sheb-il-e
ho	ho
fokots-a	fokots-a
di-tjeho	di-tjeho
tsa	tsa
ho	ho
hok-ah-an-a	hok-ah-an-a
se-tjhaba	se-tjhaba
sa	sa
ma-Aforika	ma-aforika
bo-rwa	borrw-a
se	se
ka	k-a
lab-el-l-a	label-l-a
n-phokotso	n-phokotso
nngwe	nngwe
phatlal-ets-e-ng	phatlal-e-ts-e-ng
ya	y-a
se-kgahla	se-kgahla
sa	sa
di-tjeho	di-tjeho
tsa	tsa
di-selefouno	di-selefouoo
me-hala	me-hala
ya	y-a
ka	k-a
ma-lape-ng	ma-lapeng
le	le
ya	y-a
se-tjhaba	se-tjhaba
Re	re
sebe-lets-a	sebel-etsa
ho	ho
ekets-a	ekets-a
le-belo	le-belo
la	la
di-kgokahanyo	di-kgokahanyo
tse	tse
phatlal-ets-e-ng	phatlal-e-ts-e-ng
le	le
ho	ho
nete-fa-ts-a	nete-fa-ts-a
ma-emo	ma-emo
ho-dimo	ho-dimo
n-tshebeletso	tshebeleletso
inthanete	inthanete
re	re
i-pap-is-its-e	i-pap-is-its-e
le	le
ma-emo	ma-emo
ma-tjhaba	ma-tjaaba
Ma-Aforika	ma-aforika
bo-rwa	bo-rwa
heso	heso
mo-Mmuso	mo-uso
ona	ona
tla	tla
nete-fa-ts-a	nete-fa-ts-a
hore	hore
thepa	thep-a
ya	y-a
rona	ron-a
ya	y-a
n-tikoloho	n-tikoloho
le	le
me-hlodi	me-hlodi
ya	y-a
n-tlhaho	n-tlhaha
di	di-
tshir-el-e-dits-w-e	tshir-el-ed-its-w-e
hantle	hantle
mme	moe
di	di-
dul-a	dul-a
di	di-
ntla-fa-ts-w-a	ntla-fa-ts-w-a
rona	ron-a
mmoho	mo-mhoha
le	le
Brazil	brazil
India	india
le	le
China	china
mmoho	mo-mho
le	le
United	united
States	states
em-e-ts-e	em-e-ts-e
di-naha	di-naha
tsa	tsa
le-fatshe	lef-atsh-e
tse	tse
tsw-e-ts-e-ng	tsw-ets-e-ng
pele	pele
re	re
ken-ts-e	ke--ts-e
le-tsoho	le-tsoho
n-tumellano-ng	n-tumellanong
anane-ts-w-e-ng	anane-ts-w-e-ng
N-Kopano-ng	n-kopanong
ya	y-a
ho	ho
Fetofeto-h-a	feto-f-eh-a
ha	ha
Tlelaemete	tl-elemete
ya	y-a
Copenhagen	copenhageng
ka	k-a
Tshitwe	tshit-w-e
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
Le	le
ha	ha
sa	sa
tsamay-a	tsamay-a
ka	k-a
tsela	tsel-a
eo	eo
re	re
n-e	ne
re	re
rat-a	rat-a
ka	k-a
yona	yona
ke	ke
mo-hato	mo-hato
wa	waa
bo-hlokwa	bohlookw-a
ho	ho
y-a	y-a
pele	pele
hobane	hobane
tlam-a	tlam-a
di-naha	di-naha
ho	ho
arab-el-a	arab-el-a
tabe-ng	tabeng
ya	y-a
ho	ho
fetofeto-h-a	fet--f-et-a
ha	ha
tlelaemete	tl-elemete
Re	re
tla	tla
sebets-a	sebets-a
ka	k-a
ma-tla	matla
le	le
bo-mphato	bo-mphato
ba	ba-
rona	ron-a
ba	ba-
ma-tjhabe-ng	ma-tjhabeng
se-bake-ng	ba-keng
sa	sa
n-tumellano	n-tumellano
re	re
tlam-a-ng	tlam-a-ng
bohle	bo-hle
ka	k-a
mo-lao	mo-lao
Jwaloka	jwalok-a
Aforika	aforika
bo-rwa	bo-rwa
re	re
i-tlam-m-e	i-tlamm-e
ka	k-a
bo-ithaopi	bo-ithaopi
ho	ho
fihl-el-l-a	fihl-el-l-a
di-ntlha	di-ntlha
tse	tse
its-e-ng	i-ts-e-ng
tse	tse
tob-an-e-ng	tob-an-e-ng
le	le
ho	ho
ntsh-w-a	ntsh-w-a
ha	ha
mo-si	mo-si
mme	moe
re	re
tla	tla
tsw-el-a	tsw-el-a
pele	pele
ka	k-a
ma-wala	ma-wala
rona	ron-a
n-ako	n-ako
telele	telel-e
ho	ho
lw-an-tsh-a	lw-antsh-a
ho	ho
fetofeto-h-a	feto-f-et-a
ha	ha
tlelaemete	tl-elemete
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
Re	re
tla	tla
matla-fa-ts-a	matla-fa-ts-a
me-kutu	me-kutu
ya	y-a
rona	ron-a
ya	y-a
ho	ho
tl-o	n-tlo
ntsh-ets-a	ntsh-et-a
pele	pele
di-tabatabelo	di-tabatabelo
tsa	tsa
Aforika	aforika
bo-rwa	bo-rwa
le-fatshe-ng	le-fatsheng
ka	k-a
bo-phara	bo-phara
Re	re
tla	tla
tshehets-a	tshehets-a
me-kutu	me-kutu
ya	y-a
ho	ho
potlak-is-a	potlak-is-a
n-kgokahanyo	n-kgokahanyo
ya	y-a
di-polotiki	di-polotiki
le	le
ikonomi	ikoonoi
ya	y-a
le-batowa	leb-atow-a
la	la
SADC	sadc
le	le
ho	ho
ntsh-ets-a	ntsh-ets-a
pele	pele
n-kgwebo	kgweeb
le	le
ma-tsete	ma-tsete
n-kopanelo	n-kopanelo
ka	k-a
le-batowa	leb-atow-a
Aforika	aforika
bo-rwa	bo-rwa
tsw-el-a	tsw-el-a
pele	pele
ho	ho
bapal-a	bap-laa
n-karolo	n-karolo
ya	y-a
bo-etapele	bo-etapele
me-kutu-ng	me-kutung
ya	y-a
kontinente	kontinente
ya	y-a
ho	ho
matla-fa-ts-a	matla-fa-ts-a
N-Kopano	n-popano
ya	y-a
Aforika	aforika
le	le
di-karolo	di-karolo
tsa	tsa
yona	yona
le	le
ho	ho
sebe-lets-a	sebelettsa
bo-nngwe	bonnng-w-e
Re	re
tla	tla
tsepam-is-a	tsepam-is-a
ma-tla	matla
rona	ron-a
se-bake-ng	ba-keng
sa	sa
ho	ho
tso-s-el-ets-a	tso-s-el-ets-a
se-lekane	se-lekane
se	se
setjha	setjha
se-bake-ng	ba-keng
sa	sa
n-tshetsopele-ng	n-tshetopeleng
ya	y-a
Aforika	aforika
l-e	le
le-ano	le-ano
se-bake-ng	ba-keng
sa	sa
n-tshetsopele	ntshetsopele
ya	y-a
mo-ruo	mo-ruo
ka	k-a
hara	hara
kontinente	kontinente
Ma-Aforika	ma-aforika
bo-rwa	bo-rwa
heso	heso
N-Tshebeletso	tshebeleletso
ya	y-a
se-tjhaba	se-tjhaba
lok-el-a	lok-el-a
ho	ho
arab-el-a	arab-el-a
n-kgoeletso	n-kgoeletso
ya	y-a
ho	ho
ets-a	ets-a
se-hla	se-hla
sena	se-na
sa	sa
n-tshebetso	tshebetso
potlak-il-e-ng	potlak-il-e-ng
le	le
n-tshebetso	tshebetso
ntla-f-ets-e-ng	ntla-f-ets-e-ng
ya	y-a
mo-mmuso	mo-uso
Re	re
batl-a	batl-a
n-tshebetso	tshebetso
tsw-il-e-ng	tswil-e-ng
ma-tsoho	ma-tsoho
le	le
ho	ho
sebets-a	sebets-a
ka	k-a
thata	n-thata
Re	re
hlok-a	hlok-a
ba-sebeletsi	ba-sebeletsi
ba	ba-
se-tjhaba	se-tjhaba
ba	ba-
i-te-ts-e-ng	i-tet-s-e-ng
ba	ba
n-a-ng	nang
le	le
bo-kgoni	bo-kgoni
le	le
ba	ba
kgathal-l-a-ng	kgathal-l-a-ng
di-tlhoko	di-tlhoko
tsa	tsa
ba-ahi	ba-ahi
mo-Mmuso	mo-uso
s-e	se
sebets-an-a	sebets-an-a
le	le
n-tshetsopele	ntshetsopele
le	le
ho	ho
ke-ny-a	kenny-a
n-tshebetso-ng	tshebetsong
le-naneo	le-naneo
la	la
n-tshetsopele	ntshetsopele
ya	y-a
n-tshebeletso	tshebeleletso
ya	y-a
se-tjhaba	se-tjhaba
le	le
tla	tla
beh-a	beh-a
le-ihlo	le-ihlo
bo-itshwaro	bo-itshwaro
le	le
ma-emo	ma-emo
se-bake-ng	ba-keng
sa	sa
ba-sebeletsi	ba-sebeletsi
ba	ba-
se-tjhaba	se-tjhaba
ma-faphe-ng	ma-fapheng
ohle	ohle
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
Re	re
tsw-el-a	tsw-el-a
pele	pele
ka	k-a
me-kutu	me-kutu
ya	y-a
rona	ron-a
ya	y-a
ho	ho
fed-is-a	fed-is-a
bo-bodu	bo-bodu
le	le
bo-qhekanyetsi	bo-qhekanyetsis
ha	ha
ho	ho
rek-w-a	rek-w-a
thepa	thep-a
ya	y-a
mo-mmuso	mo-uso
le	le
n-phano	n-phano
ya	y-a
di-thendara	di-thendara
le	le
di-kopo-ng	di-kopong
tsa	tsa
ma-ngolo	mangooolo
ho	ho
kgann-a	kganna
di-tjhelete	di-tjhelete
tsa	tsa
di-thuso	di-thuso
ya	y-a
se-tjhaba	se-tjhaba
le	le
ma-ngolo	mangoolo
bo-itsebiso	boitisebiso
hara	hara
tse	tse
ding	di-ng
Re	re
thab-ets-e	thab-e-ts-e
tswelopele	tswelopele
eo	eo
mo-mmuso	mouso
ets-a-ng	ets-a-ng
di-bake-ng	di-bakeng
tse	tse
ding	di-ng
Beke-ng	bekeng
ena	en-a
re	re
fed-is-its-e	fed-is-its-e
di-tefello	di-tefello
tse	tse
tsa	tsa
bo-qhekanyetsi	bo-qhekanyetsisi
ba	ba
di-tjhelete	di-tjhelete
tsa	tsaa
di-thuso	di-thuso
tsa	tsa
se-tjhaba	se-tjhaba
tse	tse
ets-a-ng	ets-a-ng
di-milione	di-milione
tse	tse
Komiti	komiti
ya	y-a
rona	ron-a
ya	y-a
N-Kopanelo	n-popanelo
ya	y-a
ma-tona	ma-tona
se-bake-ng	ba-keng
sa	sa
bo-bodu	bo-bodu
batl-an-a	ba-tlana
le	le
di-tsela	di-tsela
tsa	tsa
ho	ho
hlol-a	hlol-a
bo-bodu	bo-bodu
ka	k-a
ho	ho
pheth-ahal-a	pheth-ahal-a
Ha	ha
re	re
sebets-a	sebets-a
mmoho	mo-mho
re	re
ka	k-a
ets-a	ets-a
haholwanyane	hahalowanyane
Ba-heso	ba-heso
Jwaloka	jwalok-a
ha	ha
le	le
hlokomel-a	hlokomel-a
re	re
bu-ts-e	buts-e
mo-hala	mo-hlaa
kgeth-eh-il-e-ng	kgeth-eh-il-e-ng
wa	waa
mo-presidente	mo-presidente
ho	ho
ets-a	ets-a
hore	hore
se-tjhaba	se-tjhaba
se	se
fihl-el-l-a	fihl-el-l-a
Ofisi	ofisi
ya	y-a
mo-presidente	mo-presidente
habonolo	habonolo
le	le
ho	ho
thus-a	thus-a
ho	ho
tlo-s-a	tlo-s-a
di-thibelo	di-thibelo
tsa	tsa
n-phano	n-phano
ya	y-a
di-tshebeletso	di-tshebeletso
mo-hala	mo-hlal
kgeth-eh-il-e-ng	kgeth-eh-il-e-ng
bon-tsh-a	bon-tsh-a
ma-ikemisetso	ma-ikemisetso
mo-mmuso	mo-uso
ho	ho
ets-a	ets-a
di-ntho	di-ntho
ka	k-a
tsela	tsel-a
fapan-e-ng	fapaneng
e-nts-e	ents--e
n-phapa-ng	phapang
ma-phelo-ng	ma-phelong
ma-Aforika	ma-aforika
bo-rwa	bo-rwa
mangata	mangata
Re	re
ka	k-a
qoll-a	qol-l-a
mo-fumahadi	mo-fumahadi
Buziwe	buziwe
Ngaleka	ngal-ek-a
wa	waa
Mount	mountt
Frere	frere
eo	eo
mo-hala	mo-hlal
wa	waa
hae	hae
b-il-e-ng	bil-e-ng
wa	wa
pele	pele
N-Tshebeletso-ng	tshebeleltsong
ena	ena
mabapi	ma-bapi
le	le
pentjhene	pentjhene
ya	y-a
mo-fu	mo-fu
mo-nna	mo-nna
wa	waa
hae	hae
teng	teng
hara	hara
rona	ron-a
bo-siu-ng	bo-isung
bona	bo-na
Hara	hara
rona	ron-a
re	re
bo-e-ts-e	bo-ets-e
re	re
le	le
Mo-nghadi	mo-nghadi
Nkululeko	n-kkululeko
Cele	cele
ya	y-a
il-e-ng	il-e-ng
thus-w-a	thus-w-a
ho	ho
fuman-a	fuman-a
ma-ngolo	mangoolo
bo-itsebiso	boitisebiso
mo	mo
thus-its-e-ng	thus-its-e-ng
ho	ho
i-ngod-is-a	i-ngod-is-a
Yunivesithi-ng	yunivesithing
ya	y-a
Thekenoloji	thekenolo
ya	y-a
Tshwane	tshwane
Tsena	tsen-a
ke	ke
di-pale	di-pale
tse	tse
pedi	pedi
feela	feel-a
tsa	tsa
n-katleho	n-katleho
ya	y-a
rona	ron-a
Ka	k-a
di-ntlha	di-ntlha
le	le
me-hlala	me-hlala
meng	me-g
re	re
hlway-a	hlway-a
bo-fokodi	bo-fokodi
bo	bo
lok-el-a-ng	lok-el-a-ng
ho	ho
lok-is-w-a	lok-is-w-a
ke	ke
ma-fapha	ma-fapha
fapan-e-ng	fapaneng
mo-mmuso	mo-uso
Ka	k-a
thuso	n-thuso
ya	y-a
se-pikara	se-pikara
re	re
mem-m-e	memmme
bo-emedi	bo-emedi
ba	ba
me-kga	me-kga
mengata	me-nata
ho	ho
tsw-a	tswa
Palamente-ng	palamenteng
ho	ho
et-el-a	et-el-a
se-tsha	setsh-a
sa	sa
rona	ron-a
sa	sa
me-hala	me-hlaa
hore	hore
ma-loko	ma-loko
Palamente	palamente
i-pon-el-e	i-pon-ele
ka	k-a
ma-hlo	ma-hlo
mo-sebetsi	mo-sebetsi
ets-w-a-ng	ets-w-a-ng
Ba-heso	ba-heso
le	le
me-tswalle	me-tswalle
Ke	ke
nehel-an-e	nehel-an-e
ka	k-a
di-ntlha	di-ntlha
tse	tse
ka	k-a
se-hlohlolo-ng	se-hlohlolong
tsa	tsa
me-ralo	me-ralo
ya	y-a
rona	ron-a
se-bake-ng	ba-keng
sa	sa
bo-itlamo	bo-itlamo
ba	ba-
rona	ron-a
ba	ba-
n-kopanelo	n-kopanelo
Jwaloka	jwalok-a
mo-mmuso	mo-uso
ho	ho
ba-tho	ba-tho
ba	ba
Aforika	aforika
bo-rwa	bo-rwa
N-Puo	n-puo
ya	y-a
ma-emo	ma-emo
se-tjhaba	se-tjhaba
f-an-a	f-an-a
ka	k-a
n-kakaretso	n-kakaretso
phatlal-ets-e-ng	phatlal-e-ts-e-ng
ya	y-a
mo-ralo	mo-ralo
wa	waa
rona	ron-a
wa	waa
n-tshebetso	tshebetso
ma-tona	ma-tona
tla	tla
nehel-an-a	nehel-an-a
ka	k-a
di-ntlha	di-ntlha
ka	k-a
bo-tebo	bo-tebo
di-puo-ng	di-puong
tsa	tsa
ona	ona
tsa	tsa
N-Kgetho	n-kgeth
ya	y-a
di-tekanyetso	di-tekanyetso
tse	tse
fapan-e-ng	fapaneng
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
ma-Aforika	ma-aforika
bo-rwa	bor-w-a
heso	heso
ka	k-a
Pudungwana	pudungwana
se-lemo-ng	se-lemong
sena	se-na
re	re
tla	tla
tshway-a	tshway-a
se-hopotso	se-hopotso
sa	sa
di-lemo	di-lemo
tse	tse
tsa	tsa
ho	ho
fihl-a	fihl-a
ha	ha
ma-India	ma-india
Aforika	aforika
bo-rwa	bo-rwa
Sena	se-na
se	se
f-an-a	f-an-a
ka	k-a
mo-nyetla	mo-nyetla
wa	waa
ho	ho
ananel-a	ananel-a
nyehelo	nyehelo
ya	y-a
bo-hlokwa	bohloo-w-a
ya	y-a
se-tjhaba	se-tjhaba
sa	sa
ma-India	ma-india
ma-faphe-ng	ma-fapheng
ba-sebetsi	ba-sebetsi
n-kgwebo	kgweebo
saense	saense
di-papadi	di-papadi
n-tumelo	n-tumelo
bo-nono	bonoono
bo-tjhaba	bo-tjhaba
le	le
n-phihlello	n-phihlello
le	le
tiiisetso	n-iiis-etso
ya	y-a
demokerasi	demokerasi
ya	y-a
rona	ron-a
Ba-heso	ba-heso
le	le
me-tswalle	me-tswalle
Ha	ha
ke	ke
nk-e	nke
mo-nyetla	mo-nyetla
ona	ona
hore	hore
hapehape	hap-eh-pe
re	re
fet-is-ets-e	fet-is-ets-e
ma-tshediso	ma-tshediso
tsw-a-ng	tswan-ng
bo-tebo-ng	bo-tebong
ba	ba
di-pelo	di-pelo
tsa	tsa
rona	ron-a
ho	ho
mo-mmuso	mo-uso
le	le
ba-tho	ba-tho
ba	ba
Haiti	haiti
ka	k-a
koduwa	kodu-w-a
kgolo	n-kgolo
ba	ba
w-e-ts-e-ng	w-ets-e-ng
Re	re
thab-il-e	thab-il-e
haholo	haholo
hore	hore
me-ifo	me-ifo
ya	y-a
rona	ron-a
ya	y-a
pholoso	n-pholoso
kgon-n-e	kgonne
ho	ho
y-a	y-a
thus-a	thus-a
Ke	ke
lakats-a	lak-ats-a
ho	ho
ananel-a	ananel-a
ka	k-a
ho	ho
i-kgeth-a	ikkgeth-a
mo-Aforika	mo-aforika
bo-rwa	bo-rwa
sa	sa
k-e-ng	keng
hlol-eh-a	hlol-eh-a
ho	ho
thus-a	thus-a
n-ako-ng	n-akoong
tsa	tsa
di-koduwa	di-koduwa
le	le
ho	ho
re	re
thus-a	thus-a
ho	ho
ntsh-ets-a-pele	ntshetsapele
n-pono	n-nono
ya	y-a
se-tjhaba	se-tjhaba
se	se
kgathal-l-a-ng	kgathal-l-a-ng
Re	re
amohel-a	amohel-a
Ngaka	ngak-a
Imtiaz	imtiaz
Sooliman	sooliman
wa	waa
ka	k-a
hara	hara
n-tlo	n-tllo
ena	en-a
kajeno	n-kajeno
Ma-Aforika	ma-aforika
bo-rwa	bo-rwa
heso	heso
Ho	ho
tshwar-a	tshwar-a
di-papadi	di-papadi
tsa	tsa
Mo-hope	mo-hope
wa	waa
le-fatshe	lef-atshe
wa	wa
FIFA	fifa
ho	ho
ets-a	ets-a
se-lemo	se-lemo
sa	sa
b-e	be
sa	sa
n-tshebetso	tshebetso
l-e	le
ka	k-a
nnete	nnete
Re	re
du-ts-e	dutts-e
di-lemo	di-lemo
tse	tse
telele	telel-e
re	re
rer-a	rera
se-bake-ng	ba-keng
sa	sa
Mo-hope	mo-hope
ona	ona
wa	waa
le-fatshe	lef-atsh-e
Re	re
s-ets-e	se-tse
feela	feel-a
ka	k-a
di-kgwedi	di-kgwedi
tse	tse
tharo	n-tharo
Mme	moe
re	re
ik-em-is-ed-its-e	i--em-is-ed-its-e
ho	ho
atl-eh-a	atl-eh-a
mo-theo	mo-theo
wa	waa
se-tjhaba	se-tjhaba
n-tshireletso	n-tshireletso
le	le
di-tlhophiso	di-tlhophiso
di	di
mo-tjhe-ng	mo-thheng
se-bake-ng	ba-keng
sa	sa
ho	ho
nete-fa-ts-a	nete-fa-ts-a
thonamente	thonamente
atl-eh-il-e-ng	atl-eh-il-e-ng
Jwaloka	jwalok-a
se-tjhaba	se-tjhaba
re	re
lok-el-a	lok-el-a
ho	ho
is-a	isa
di-teboho	di-teboho
ho	ho
Komiti	komiti
ya	y-a
le-hae	le-he-
hloph-is-a-ng	hloph-is-a-ng
se-bake-ng	ba-keng
sa	sa
me-kutu	me-kutu
ya	y-a
bona	bo-na
babats-eh-a-ng	babats-eh-a-ng
Re	re
lakal-ets-a	lak-l-e-ts-a
mo-dulasetulo	mo-dulasetulo
wa	waa
LOC	loc
Irvin	irvin
Khoza	khoca
CEO	ceo
Danny	danny
Jordaan	jordaan
le	le
mo-kwetlisi	mo-kwetlisi
wa	waa
ba-fana	ba-fana
ba-fana	ba-fana
Carlos	carlols
Alberto	alberto
Parreira	parreira
tsohle	tsohle
tse	tse
mo-lemo	mo-lemo
se-bake-ng	ba-keng
sa	sa
di-kgwedi	di-kgwedi
tse	tse
tl-a-ng	tlang
mo-presidente	mo-presidente
Mandela	mandela
n-e	ne
l-e	le
bo-hare-ng	bo-hareng
ba	ba
ho	ho
thus-a	thus-a
n-aha	n-aha
ho	ho
hlol-a	hlol-a
di-tokelo	di-tokelo
tsa	tsa
ho	ho
tshwar-a	tshwar-a
mo-rero	mo-rero
ona	ona
moholo	mo-hloo
Ha	ha
ho	ho
l-e	le
jwalo	wjalo
re	re
lok-el-a	lok-el-a
ho	ho
ets-a	ets-a
Mo-hope	mo-hope
wa	waa
le-fatshe	lef-atshe
n-katleho	n-katleho
kgolo	n-kgolo
se-bake-ng	ba-keng
sa	sa
ho	ho
mo	mo
hlomph-a	hlomph-a
Ba-heso	ba-heso
ha	ha
re	re
bo-el-e-ng	bo-el-e-ng
re	re
tshehets-e	tshehets-e
se-hlopha	se-hlopha
