la-oll-a	Laoll-a
ma-kala	ma-kala
tsa	ts-a
mo-lao	mo-lao
hore	hore
lw-an-tsh-e	lwantshe
ho	ho
hlok-a	hlok-a
n-taolo	n-taolo
ka	k-a
ma-tla	ma-tla
Balfour	ba-lofuri
le	le
di-tulo-ng	di-tluong
tse	ts-e
ding	ding
Ka	Ja
Tshitwe	Tshitswe
Kabinete	N-Kabinete
dumel-l-an-e	dumel-l-an-e
ka	k-a
le-wa	le-w-a
la	l-a
n-tshebetso	tshebetso
se-bake-ng	ba-keng
sa	s-a
mo-mmuso	mm-uso
wa	wa
le-hae	le-hae
Sena	se-an
se	se
tla	tl-a
nete-fa-ts-a	nete-fa-ts-a
hore	hore
mo-mmuso	mm-uso
wa	wa
le-hae	le-hae
le	le
bo-laodi	bo-laodi
bo	bo
hlwahlwa	hlwah-w-a
bo-kgoni	bo-kgoni
ba	b-a
tsamaiso	tsamaiso
le	le
ba	b-a
bo-tekginiki	bo-tekginiki
se-lemo-ng	se-lemong
sena	se-an
sa	s-a
n-tshebetso	tshebetso
ha	ha
re	re
sebets-e-ng	sebets-e-ng
mmoho	mo-mho
ho	ho
ets-a	ets-a
hore	hore
mo-mmuso	mm-uso
wa	wa
le-hae	le-hae
b-e	be
bo-ikarabelo	bo-ikarabelo
ba	b-a
rona	ron-a
kaofela	n-kaofel-a
Re	Re
sebe-lets-a	sebelets-a
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
bo-dulo	bo-dulo
le	le
ho	ho
f-an-a	fan-a
ka	k-a
di-tshebeletso	di-tshebeletso
ba-tho-ng	ba-thong
ba	b-a
me-khukhu	me-khukhu
du-ts-e-ng	du-ts-e-ng
N-Tulo-ng	n-tulong
tse	ts-e
hantle	hantle
tse	ts-e
hlwahlwa	hlwah-w-a
le	le
ho	ho
f-an-a	fan-a
le	le
di-tokelo	di-tokelo
tsa	ts-a
n-aha	nah-a
ho	ho
bo-nyane	bonyane
ma-tlo	ma-tlo
ka	k-a
Re	Re
rer-a	rer-a
ho	ho
beh-el-l-a	behel-l-a
ka	k-a
thoko	n-thoko
di-hektare	di-khetera
tse	ts-e
tsa	ts-a
N-aha	Nah-a
du-ts-e-ng	du-ts-e-ng
hantle	hantle
se-bake-ng	ba-keng
sa	s-a
ba	b-a
amohel-a-ng	amohel-a-ng
me-putso	me-putso
tlase	tla-s-e
le	le
ma-tlo	ma-tlo
kgon-eh-a-ng	kgon-eh-a-ng
Ntlafatso	n-tlafatso
ntjha	ntjh-a
ya	y-a
bo-hlokwa	bo-hlokwa
tla	tl-a
b-a	b-a
ho	ho
ke-ny-el-ets-a	ke-ny-el-ets-a
ba-tho	ba-tho
bao	bo-a
me-putso	me-putso
ya	y-a
bona	bon-a
phaham-e-ng	phaham-e-ng
haholo	haholo
ho	ho
r-e	re
ba	b-a
ka	k-a
fuman-a	fuman-a
di-tshehetso	di-tshehetso
tsa	ts-a
mo-mmuso	mm-uso
empa	me-pa
ba	b-a
amohel-a	amohel-a
tjhelete	tjhe-el-e
tlase	tla-s-e
hore	hore
ba	b-a
ka	k-a
fuman-a	fuman-a
n-kadimo	n-kamidi
banke-ng	ba-nkeng
Re	Re
ke-ny-a	ke-ny-a
mo-kgwa	mo-kgwa
wa	wa
le-tlole	le-tlole
la	l-a
tiisetso	ti-is-etso
la	l-a
bilione	bi-ilone
ho	ho
kgothal-e-ts-a	kgotha-l-ets-a
di-banka	di-bakan
tsa	ts-a
poraefete	poraefene
le	le
le-kala	lek-al-a
la	l-a
ma-tlo	ma-tlo
ho	ho
kgak-ol-a	n-kgakola
di-hlahiswa	di-hlahiswa
tse	ts-e
ntjha	ntjh-a
tse	ts-e
tla	tl-a
sheb-an-a	sheb-an-a
le	le
n-tlhoko	n-tlhoko
ya	y-a
bo-dulo	bo-dulo
Ba-heso	ba-heso
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
re	re
its-e	tis-e
ba-tho	ba-tho
ba	b-a
ma-hae-ng	ma-haeng
le	le
bona	bon-a
ba	b-a
le	le
n-tokelo	n-tokelo
ya	y-a
ho	ho
b-a	b-a
le	le
mo-tlakase	mo-tlakase
me-tsi	me-tsi
ma-tlwana	ma-tlwana
tsama-is-w-a-ng	tsama-is-w-a-ng
ka	k-a
me-tsi	me-tsi
le	le
di-tsela	di-tsela
ra	Ia
r-e	re
ba	b-a
tshwane-ts-e	tshwane-ts-e
ho	ho
b-a	b-a
le	le
di-tsi	di-tsi
bo-ikgathollo	bo-ikgathollo
le	le
di-papadi	di-papadi
hammoho	hamomho
le	le
di-tsi	di-tsi
tsa	ts-a
ma-benkele	ma-bekeleng
tse	ts-e
Jwaloka	n-kalwao
tse	ts-e
me-tsemeholo-ng	me-tsemohelong
Tabe-ng	Tabeng
ena	en-a
re	re
kgak-o-ts-e	kgakgotse
se-tsha	se-tsha
sa	s-a
pele	pele
sa	s-a
n-teko	n-teko
sa	s-a
le-naneo	le-naneo
le	le
phatlal-ets-e-ng	Phatlal-ets-a-ng
la	l-a
n-tshetsopele	tshetsopele
ya	y-a
Ma-hae	ma-hae
Giyani	iyainy
Limpopo	Sl-ipomo
ka	k-a
N-Phato	N-Phato
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
Ho	oho
tloh-a	tloh-a
ka	k-a
n-ako	n-kao
eo	eo
ma-tlo	ma-tlo
ah-il-w-e	ah-il-w-e
Tswelopele	Tswelopele
s-e	se
e-nts-w-e	ents-w-e
se-bake-ng	ba-keng
sa	s-a
ho	ho
f-an-a	fan-a
ka	k-a
mo-theo	mo-theo
wa	wa
se-tjhaba	se-tjhaba
ho	ho
tshehets-a	tshehets-a
n-tshetsopele	ntshetsopele
ya	y-a
n-temo	n-temo
le	le
n-kwetliso	n-kwetliso
se-bake-ng	ba-keng
sa	s-a
ba-ahi	ba-ahi
N-Phumantsho	Phumantsho
ya	y-a
di-tsha	di-tsha
tsa	ts-a
bo-phelo	bo-phelo
bo	bo
botle	botle
le	le
n-thuto	n-thuto
di	di
ntla-f-ets-e	ntla-f-ets-e
Re	Re
ke-ny-a	ke-ny-a
n-tshebetso-ng	tshebetsong
ma-naneo	ma-naneo
tshwan-a-ng	tshwan-a-ng
le	le
lena	le-na
di-tshe-ng	di-tsheng
tse	ts-e
sup-il-e-ng	sup-il-e-ng
ho	ho
phatlall-a	phatlall-a
le	le
n-aha	nah-a
mme	mm-em
di	di
tsw-el-a	tswel-a
mo-lemo	mo-lemo
di-wate	di-wate
tse	ts-e
Ka	Ja
re	re
ik-em-is-ed-its-e	ik-ime-d-is-ets-e
ho	ho
b-a	b-a
le	le
di-tsha	di-tsha
di-wate-ng	di-wateng
tse	ts-e
Re	Re
batl-a	batl-a
hore	hore
ya	y-a
ma-lapa	ma-lapa
di-tshe-ng	di-tsheng
tsena	tsen-a
di	di
kgon-e	kgon-e
ho	ho
mekamekan-a	me-kemakana
le	le
di-tlhoko	di-tlhoko
tsa	ts-a
di-jo	di-jo
ho	ho
tsw-a	ts-w-a
n-tlhahiso-ng	n-tlhahisong
eo	eo
ba	b-a
ik-ets-ed-its-e-ng	ik-ets-ed-its-e-ng
yona	yon-a
ka	k-a
Hanyane	Janyane
hanyane	hanyane
ho	ho
tla	tl-a
lok-a	lok-a
hantlentle	hantlel-e-ng
ba-heso	ba-heso
ho	ho
thw-e	th-w-e
di-ntho	di-ntho
tse	ts-e
kgolo	n-kgolo
di	di
qal-a	qal-a
hanyane	hanyane
Re	Re
bo-e-ts-e	bo-etse
re	re
hlok-a	hlok-a
ho	ho
kopa-ny-a	kopany-a
betere	be-tere
ntlafatso	n-tlafatso
ya	y-a
le-fatshe	lef-ah-ets-a
le	le
ma-naneo	ma-naneo
tshehetso	tshehetso
ya	y-a
n-temo	n-temo
n-katleho	N-Katleho
ya	y-a
rona	ron-a
tabe-ng	tab-e-ng
ena	en-a
tla	tl-a
meth-w-a	me-thwa
ka	k-a
n-keketseho	n-keketseho
ya	y-a
le-nane	le-nane
la	l-a
bo-rapolasi	bo-rapolasi
ba	b-a
banyenyane	banyenyane
ba	b-a
atl-eh-a-ng	atleh-a-ng
mo-ruo-ng	mo-ruong
se-pikara	se-parika
se	se
hlomph-eh-il-e-ng	hlophem-il-e-ng
le	le
mo-dulasetulo	do-dumalelutso
wa	wa
NCOP	NPPP
Ha	hao
re	re
n-aha	nah-a
ru-il-e-ng	ru-il-e-ng
ka	k-a
me-tsi	me-tsi
Empa	Empa
re	re
nts-e	nts-e
re	re
lahl-eh-el-w-a	lahleh-el-w-a
ke	ke
me-tsi	me-tsi
mangata	ma-ngata
ka	k-a
di-peipi	di-pepii
tse	ts-e
dutl-a-ng	dutlang
le	le
mo-theo	mo-theo
wa	wa
se-tjhaba	se-tjhaba
sa	s-a
tsepam-a-ng	tsepam-a-ng
Re	Re
tla	tl-a
tl-a	tl-a
ka	k-a
me-kgwa	me-kgwa
ya	y-a
ho	ho
fokots-a	fokots-a
n-tahlehelo	thael-ehlo
ya	y-a
me-tsi	me-tsi
ka	k-a
halofo	halofo
ka	k-a
di-tho	di-tho
tse	ts-e
hlomph-eh-il-e-ng	hlophem-il-e-ng
Jwaloka	N-Kwaloka
ka	k-a
n-karolo	n-karolo
ya	y-a
rona	ron-a
ya	y-a
ho	ho
ets-a	ets-a
me-kutu	me-kutu
ya	y-a
ho	ho
kgothal-e-ts-a	kgotha-l-ets-a
n-kgolo	n-kgolo
ma-tla	ma-tla
ya	y-a
mo-ruo	mo-ruo
re	re
sheb-il-e	shebile
ho	ho
fokots-a	fokots-a
di-tjeho	di-tjheo
tsa	ts-a
ho	ho
hok-ah-an-a	hok-ahan-a
se-tjhaba	se-tjhaba
sa	s-a
ma-Aforika	ma-Afroki
bo-rwa	bo-rwa
se	se
ka	k-a
lab-el-l-a	label-l-a
n-phokotso	n-phokotso
nngwe	nngwe
phatlal-ets-e-ng	phatlal-ets-e-ng
ya	y-a
se-kgahla	se-kgahla
sa	s-a
di-tjeho	di-tjheo
tsa	ts-a
di-selefouno	di-selofeuno
me-hala	me-hala
ya	y-a
ka	k-a
ma-lape-ng	ma-lapeng
le	le
ya	y-a
se-tjhaba	se-tjhaba
Re	Re
sebe-lets-a	sebelets-a
ho	ho
ekets-a	ekets-a
le-belo	le-belo
la	l-a
di-kgokahanyo	di-kgokahano
tse	ts-e
phatlal-ets-e-ng	phatlal-ets-e-ng
le	le
ho	ho
nete-fa-ts-a	nete-fa-ts-a
ma-emo	ma-emo
ho-dimo	hodimo
n-tshebeletso	tshebeletso
inthanete	i-nthanete
re	re
i-pap-is-its-e	i-papis-its-e
le	le
ma-emo	ma-emo
ma-tjhaba	ma-tjhaba
Ma-Aforika	ma-Afroka
bo-rwa	bo-rwa
heso	heso
mo-Mmuso	mo-sumo
ona	on-a
tla	tl-a
nete-fa-ts-a	nete-fa-ts-a
hore	hore
thepa	thep-a
ya	y-a
rona	ron-a
ya	y-a
n-tikoloho	n-tikoloho
le	le
me-hlodi	mehlodi
ya	y-a
n-tlhaho	tlhaho
di	di
tshir-el-e-dits-w-e	tshirel-ed-its-w-e
hantle	hantle
mme	mm-em
di	di
dul-a	dul-a
di	di
ntla-fa-ts-w-a	ntla-fa-ts-w-a
rona	Jona
mmoho	mo-mho
le	le
Brazil	Arbali
India	India
le	le
China	China
mmoho	mo-mho
le	le
United	n-tine
States	tsate
em-e-ts-e	em-ets-e
di-naha	di-naha
tsa	ts-a
le-fatshe	lef-ah-ets-a
tse	ts-e
tsw-e-ts-e-ng	tsw-ets-e-ng
pele	pele
re	re
ken-ts-e	ken-ts-e
le-tsoho	le-tsoho
n-tumellano-ng	n-tumellanong
anane-ts-w-e-ng	anane-ts-w-e-ng
N-Kopano-ng	K-opanong
ya	y-a
ho	ho
Fetofeto-h-a	ee-tofotsha
ha	ha
Tlelaemete	Tlelemaete
ya	y-a
Copenhagen	Popeh-an-e-ng
ka	k-a
Tshitwe	Tshitswe
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
Le	Le
ha	ha
sa	s-a
tsamay-a	tsamay-a
ka	k-a
tsela	tsel-a
eo	eo
re	re
n-e	ne
re	re
rat-a	rat-a
ka	k-a
yona	yon-a
ke	ke
mo-hato	mo-hato
wa	wa
bo-hlokwa	bo-hlokwa
ho	ho
y-a	y-a
pele	pele
hobane	hobane
tlam-a	tlam-a
di-naha	di-naha
ho	ho
arab-el-a	arab-el-a
tabe-ng	tab-e-ng
ya	y-a
ho	ho
fetofeto-h-a	fetofetoha
ha	ha
tlelaemete	tlemaleetso
Re	Re
tla	tl-a
sebets-a	sebets-a
ka	k-a
ma-tla	ma-tla
le	le
bo-mphato	bo-phamoto
ba	b-a
rona	ron-a
ba	b-a
ma-tjhabe-ng	ma-tjhabeng
se-bake-ng	ba-keng
sa	s-a
n-tumellano	n-tumellano
re	re
tlam-a-ng	tlam-a-ng
bohle	bohle
ka	k-a
mo-lao	mo-lao
Jwaloka	N-Kwaloka
Aforika	Aforika
bo-rwa	bo-rwa
re	re
i-tlam-m-e	tim-mal-e
ka	k-a
bo-ithaopi	bo-ithapoi
ho	ho
fihl-el-l-a	fihl-el-l-a
di-ntlha	di-ntlha
tse	ts-e
its-e-ng	i-ts-e-ng
tse	ts-e
tob-an-e-ng	tob-an-e-ng
le	le
ho	ho
ntsh-w-a	ntsh-w-a
ha	ha
mo-si	mo-si
mme	mm-em
re	re
tla	tl-a
tsw-el-a	tswel-a
pele	pele
ka	k-a
ma-wala	ma-wala
rona	ron-a
n-ako	n-kao
telele	te-el-l-e
ho	ho
lw-an-tsh-a	lwantsha
ho	ho
fetofeto-h-a	fetofetoha
ha	ha
tlelaemete	tlemaleetso
di-tho	di-tho
tse	ts-e
hlomph-eh-il-e-ng	hlophem-il-e-ng
Re	Re
tla	tl-a
matla-fa-ts-a	ma-tlafatsa
me-kutu	me-kutu
ya	y-a
rona	ron-a
ya	y-a
ho	ho
tl-o	tlo
ntsh-ets-a	ntsh-ets-a
pele	pele
di-tabatabelo	di-tababatleo
tsa	ts-a
Aforika	Aforika
bo-rwa	bo-rwa
le-fatshe-ng	lef-ah-ets-e-ng
ka	k-a
bo-phara	bo-phara
Re	Re
tla	tl-a
tshehets-a	tshehets-a
me-kutu	me-kutu
ya	y-a
ho	ho
potlak-is-a	potlak-is-a
n-kgokahanyo	n-kgokahanyo
ya	y-a
di-polotiki	di-poloiti
le	le
ikonomi	n-komino
ya	y-a
le-batowa	lebatowa
la	l-a
SADC	SADA
le	le
ho	ho
ntsh-ets-a	ntsh-ets-a
pele	pele
n-kgwebo	n-kgwebo
le	le
ma-tsete	ma-tsete
n-kopanelo	n-kopanelo
ka	k-a
le-batowa	lebatowa
Aforika	Aforika
bo-rwa	bo-rwa
tsw-el-a	tswel-a
pele	pele
ho	ho
bapal-a	bap-al-a
n-karolo	n-karolo
ya	y-a
bo-etapele	bo-teabele
me-kutu-ng	me-kutung
ya	y-a
kontinente	kontinente
ya	y-a
ho	ho
matla-fa-ts-a	ma-tlafatsa
N-Kopano	K-Kopano
ya	y-a
Aforika	Aforika
le	le
di-karolo	di-karolo
tsa	ts-a
yona	yon-a
le	le
ho	ho
sebe-lets-a	sebelets-a
bo-nngwe	bon-ng-w-e
Re	Re
tla	tl-a
tsepam-is-a	tsepam-is-a
ma-tla	ma-tla
rona	ron-a
se-bake-ng	ba-keng
sa	s-a
ho	ho
tso-s-el-ets-a	tso-es-el-a-ts
se-lekane	se-lekane
se	se
setjha	se-tjha
se-bake-ng	ba-keng
sa	s-a
n-tshetsopele-ng	tshetsopeletso
ya	y-a
Aforika	Aforika
l-e	le
le-ano	le-ano
se-bake-ng	ba-keng
sa	s-a
n-tshetsopele	ntshetsopele
ya	y-a
mo-ruo	mo-ruo
ka	k-a
hara	har-a
kontinente	kontinente
Ma-Aforika	ma-Afroka
bo-rwa	bo-rwa
heso	heso
N-Tshebeletso	N-Tshebeletso
ya	y-a
se-tjhaba	se-tjhaba
lok-el-a	lok-el-a
ho	ho
arab-el-a	arab-el-a
n-kgoeletso	n-kgoeletso
ya	y-a
ho	ho
ets-a	ets-a
se-hla	se-hla
sena	se-an
sa	s-a
n-tshebetso	tshebetso
potlak-il-e-ng	n-potlak-il-e-ng
le	le
n-tshebetso	tshebetso
ntla-f-ets-e-ng	ntla-f-e-ts-e-ng
ya	y-a
mo-mmuso	mm-uso
Re	Re
batl-a	batl-a
n-tshebetso	tshebetso
tsw-il-e-ng	tsw-il-e-ng
ma-tsoho	ma-tsoho
le	le
ho	ho
sebets-a	sebets-a
ka	k-a
thata	that-a
Re	Re
hlok-a	hlok-a
ba-sebeletsi	ba-sebeletsi
ba	b-a
se-tjhaba	se-tjhaba
ba	b-a
i-te-ts-e-ng	i-te-ts-e-ng
ba	b-a
n-a-ng	n-a-ng
le	le
bo-kgoni	bo-kgoni
le	le
ba	b-a
kgathal-l-a-ng	kgathal-l-a-ng
di-tlhoko	di-tlhoko
tsa	ts-a
ba-ahi	ba-ahi
mo-Mmuso	mo-sumo
s-e	se
sebets-an-a	sebets-an-a
le	le
n-tshetsopele	ntshetsopele
le	le
ho	ho
ke-ny-a	ke-ny-a
n-tshebetso-ng	tshebetsong
le-naneo	le-naneo
la	l-a
n-tshetsopele	ntshetsopele
ya	y-a
n-tshebeletso	tshebeletso
ya	y-a
se-tjhaba	se-tjhaba
le	le
tla	tl-a
beh-a	beh-a
le-ihlo	le-hilo
bo-itshwaro	bo-itshwaro
le	le
ma-emo	ma-emo
se-bake-ng	ba-keng
sa	s-a
ba-sebeletsi	ba-sebeletsi
ba	b-a
se-tjhaba	se-tjhaba
ma-faphe-ng	ma-fapheng
ohle	hole
di-tho	di-tho
tse	ts-e
hlomph-eh-il-e-ng	hlophem-il-e-ng
Re	Re
tsw-el-a	tswel-a
pele	pele
ka	k-a
me-kutu	me-kutu
ya	y-a
rona	ron-a
ya	y-a
ho	ho
fed-is-a	fed-is-a
bo-bodu	bo-bodu
le	le
bo-qhekanyetsi	bo-kgehafentsa
ha	ha
ho	ho
rek-w-a	rek-w-a
thepa	thep-a
ya	y-a
mo-mmuso	mm-uso
le	le
n-phano	n-phano
ya	y-a
di-thendara	di-tjhenama
le	le
di-kopo-ng	di-kopong
tsa	ts-a
ma-ngolo	ma-ngolo
ho	ho
kgann-a	kgan-a-ng
di-tjhelete	di-tjheele
tsa	ts-a
di-thuso	di-thuso
ya	y-a
se-tjhaba	se-tjhaba
le	le
ma-ngolo	ma-ngolo
bo-itsebiso	bo-itsebiso
hara	har-a
tse	ts-e
ding	ding
Re	Re
thab-ets-e	thabesetso
tswelopele	tswel-epole
eo	eo
mo-mmuso	mm-uso
ets-a-ng	ets-a-ng
di-bake-ng	di-bakeng
tse	ts-e
ding	ding
Beke-ng	be-keng
ena	en-a
re	re
fed-is-its-e	fed-is-its-e
di-tefello	di-tefello
tse	ts-e
tsa	ts-a
bo-qhekanyetsi	bo-kgehafentsa
ba	b-a
di-tjhelete	di-tjheele
tsa	ts-a
di-thuso	di-thuso
tsa	ts-a
se-tjhaba	se-tjhaba
tse	ts-e
ets-a-ng	ets-a-ng
di-milione	di-milione
tse	ts-e
Komiti	Komiti
ya	y-a
rona	ron-a
ya	y-a
N-Kopanelo	N-Kaponelo
ya	y-a
ma-tona	ma-tona
se-bake-ng	ba-keng
sa	s-a
bo-bodu	bo-bodu
batl-an-a	batlana
le	le
di-tsela	di-tsela
tsa	ts-a
ho	ho
hlol-a	hlol-a
bo-bodu	bo-bodu
ka	k-a
ho	ho
pheth-ahal-a	pheth-ahal-a
Ha	hao
re	re
sebets-a	sebets-a
mmoho	mo-mho
re	re
ka	k-a
ets-a	ets-a
haholwanyane	hahol-any-w-a-ng
Ba-heso	ba-heso
Jwaloka	N-Kwaloka
ha	ha
le	le
hlokomel-a	hlokomel-a
re	re
bu-ts-e	buts-e
mo-hala	mo-hala
kgeth-eh-il-e-ng	Kgeth-eh-il-e-ng
wa	wa
mo-presidente	po-resisenetr
ho	ho
ets-a	ets-a
hore	hore
se-tjhaba	se-tjhaba
se	se
fihl-el-l-a	fihl-el-l-a
Ofisi	fisis
ya	y-a
mo-presidente	po-resisenetr
habonolo	habonolo
le	le
ho	ho
thus-a	thus-a
ho	ho
tlo-s-a	tlos-a
di-thibelo	di-thibelo
tsa	ts-a
n-phano	n-phano
ya	y-a
di-tshebeletso	di-tshebeletso
mo-hala	mo-hala
kgeth-eh-il-e-ng	kgeth-eh-il-e-ng
bon-tsh-a	bon-tsh-a
ma-ikemisetso	ma-ikemeisitso
mo-mmuso	mm-uso
ho	ho
ets-a	ets-a
di-ntho	di-ntho
ka	k-a
tsela	tsel-a
fapan-e-ng	fapan-e-ng
e-nts-e	ents-e
n-phapa-ng	phap-a-ng
ma-phelo-ng	ma-phelong
ma-Aforika	ma-Afroki
bo-rwa	bo-rwa
mangata	ma-ngata
Re	Re
ka	k-a
qoll-a	qol-l-a
mo-fumahadi	mo-fumahadi
Buziwe	Aub-iw-e
Ngaleka	N-Kgaleka
wa	wa
Mount	mo-nut
Frere	rere
eo	eo
mo-hala	mo-hala
wa	wa
hae	hae
b-il-e-ng	bil-e-ng
wa	wa
pele	pele
N-Tshebeletso-ng	tshebeletsong
ena	en-a
mabapi	ma-bapi
le	le
pentjhene	n-petjhene
ya	y-a
mo-fu	mo-fu
mo-nna	monna
wa	wa
hae	hae
teng	teng
hara	har-a
rona	ron-a
bo-siu-ng	bo-ising
bona	bon-a
Hara	Aar-a
rona	ron-a
re	re
bo-e-ts-e	bo-etse
re	re
le	le
Mo-nghadi	mo-ngahi
Nkululeko	N-kulukelo
Cele	Cele
ya	y-a
il-e-ng	il-e-ng
thus-w-a	thus-w-a
ho	ho
fuman-a	fuman-a
ma-ngolo	ma-ngolo
bo-itsebiso	bo-itsebiso
mo	mo
thus-its-e-ng	thus-its-e-ng
ho	ho
i-ngod-is-a	n-igodisa
Yunivesithi-ng	urinsitehisi
ya	y-a
Thekenoloji	N-Tehekolontso
ya	y-a
Tshwane	Tshwane
Tsena	Tsena
ke	ke
di-pale	di-pale
tse	ts-e
pedi	pedi
feela	fele-a
tsa	ts-a
n-katleho	n-katleho
ya	y-a
rona	ron-a
Ka	Ja
di-ntlha	di-ntlha
le	le
me-hlala	me-hlala
meng	meng
re	re
hlway-a	hlaw-a
bo-fokodi	bo-fokodi
bo	bo
lok-el-a-ng	lok-el-a-ng
ho	ho
lok-is-w-a	lok-is-w-a
ke	ke
ma-fapha	ma-fapha
fapan-e-ng	fapan-e-ng
mo-mmuso	mm-uso
Ka	Ja
thuso	n-thuso
ya	y-a
se-pikara	se-parika
re	re
mem-m-e	mmeme
bo-emedi	bo-emedi
ba	b-a
me-kga	me-kga
mengata	me-ngata
ho	ho
tsw-a	ts-w-a
Palamente-ng	Pamalenteng
ho	ho
et-el-a	et-el-a
se-tsha	se-tsha
sa	s-a
rona	ron-a
sa	s-a
me-hala	me-hala
hore	hore
ma-loko	ma-loko
Palamente	Pamalente
i-pon-el-e	i-ponele
ka	k-a
ma-hlo	mahlo
mo-sebetsi	mo-sebetsi
ets-w-a-ng	ets-w-a-ng
Ba-heso	ba-heso
le	le
me-tswalle	me-tswalle
Ke	Fe
nehel-an-e	nehel-an-e
ka	k-a
di-ntlha	di-ntlha
tse	ts-e
ka	k-a
se-hlohlolo-ng	se-hlohlolong
tsa	ts-a
me-ralo	me-ralo
ya	y-a
rona	ron-a
se-bake-ng	ba-keng
sa	s-a
bo-itlamo	bo-itlamo
ba	b-a
rona	ron-a
ba	b-a
n-kopanelo	n-kopanelo
Jwaloka	n-kalwao
mo-mmuso	mm-uso
ho	ho
ba-tho	ba-tho
ba	b-a
Aforika	Aforika
bo-rwa	bo-rwa
N-Puo	N-Puo
ya	y-a
ma-emo	ma-emo
se-tjhaba	se-tjhaba
f-an-a	fan-a
ka	k-a
n-kakaretso	kakaretso
phatlal-ets-e-ng	phatlal-ets-e-ng
ya	y-a
mo-ralo	mo-ralo
wa	wa
rona	ron-a
wa	wa
n-tshebetso	tshebetso
ma-tona	ma-tona
tla	tl-a
nehel-an-a	nehel-an-a
ka	k-a
di-ntlha	di-ntlha
ka	k-a
bo-tebo	bo-tebo
di-puo-ng	di-poung
tsa	ts-a
ona	on-a
tsa	ts-a
N-Kgetho	N-Kgetho
ya	y-a
di-tekanyetso	di-tekanyetso
tse	ts-e
fapan-e-ng	fapan-e-ng
di-tho	di-tho
tse	ts-e
hlomph-eh-il-e-ng	hlophem-il-e-ng
ma-Aforika	ma-Afroki
bo-rwa	bo-rwa
heso	heso
ka	k-a
Pudungwana	du-puny-a-ng
se-lemo-ng	se-lemong
sena	se-an
re	re
tla	tl-a
tshway-a	tshway-a
se-hopotso	se-phootso
sa	s-a
di-lemo	di-lemo
tse	ts-e
tsa	ts-a
ho	ho
fihl-a	fihl-a
ha	ha
ma-India	ma-ndiamo
Aforika	Aforika
bo-rwa	bo-rwa
Sena	se-an
se	se
f-an-a	fan-a
ka	k-a
mo-nyetla	mo-nyela
wa	wa
ho	ho
ananel-a	ananel-a
nyehelo	n-Tehlelo
ya	y-a
bo-hlokwa	bo-hlokwa
ya	y-a
se-tjhaba	se-tjhaba
sa	s-a
ma-India	ma-ndiamo
ma-faphe-ng	ma-fapheng
ba-sebetsi	ba-sebetsi
n-kgwebo	n-kgwebo
saense	saes-e
di-papadi	di-papadi
n-tumelo	n-tumelo
bo-nono	bonono
bo-tjhaba	bo-tjhaba
le	le
n-phihlello	phihlello
le	le
tiiisetso	ti-is-is-etso
ya	y-a
demokerasi	me-kerosadi
ya	y-a
rona	ron-a
Ba-heso	ba-heso
le	le
me-tswalle	me-tswalle
Ha	hao
ke	ke
nk-e	nk-e
mo-nyetla	mo-nyela
ona	on-a
hore	hore
hapehape	phapehae
re	re
fet-is-ets-e	fet-is-ets-e
ma-tshediso	ma-tshediso
tsw-a-ng	tsw-a-ng
bo-tebo-ng	bo-tebong
ba	b-a
di-pelo	di-pelo
tsa	ts-a
rona	ron-a
ho	ho
mo-mmuso	mm-uso
le	le
ba-tho	ba-tho
ba	b-a
Haiti	Aatii
ka	k-a
koduwa	kom-uw-a
kgolo	n-kgolo
ba	b-a
w-e-ts-e-ng	we-ts-e-ng
Re	Re
thab-il-e	thab-il-e
haholo	haholo
hore	hore
me-ifo	me-fio
ya	y-a
rona	ron-a
ya	y-a
pholoso	n-pholoso
kgon-n-e	kgon-e-ng
ho	ho
y-a	y-a
thus-a	thus-a
Ke	Fe
lakats-a	lakats-a
ho	ho
ananel-a	ananel-a
ka	k-a
ho	ho
i-kgeth-a	i-kgeth-a
mo-Aforika	mo-Aforika
bo-rwa	bo-rwa
sa	s-a
k-e-ng	keng
hlol-eh-a	hlol-eh-a
ho	ho
thus-a	thus-a
n-ako-ng	n-kanong
tsa	ts-a
di-koduwa	di-koduwa
le	le
ho	ho
re	re
thus-a	thus-a
ho	ho
ntsh-ets-a-pele	ntsh-ets-ep-al-e
n-pono	n-poo
ya	y-a
se-tjhaba	se-tjhaba
se	se
kgathal-l-a-ng	kgathal-l-a-ng
Re	Re
amohel-a	amohel-a
Ngaka	N-Kgaka
Imtiaz	Sitam
Sooliman	Somolian
wa	wa
ka	k-a
hara	har-a
n-tlo	n-tlo
ena	en-a
kajeno	n-kaeno
Ma-Aforika	ma-Afroka
bo-rwa	bo-rwa
heso	heso
Ho	oho
tshwar-a	tshwar-a
di-papadi	di-papadi
tsa	ts-a
Mo-hope	mo-hope
wa	wa
le-fatshe	le-fatshe
wa	wa
FIFA	FFFa
ho	ho
ets-a	ets-a
se-lemo	se-lemo
sa	s-a
b-e	be
sa	s-a
n-tshebetso	tshebetso
l-e	le
ka	k-a
nnete	nnete
Re	Re
du-ts-e	dutse
di-lemo	di-lemo
